Local time,Open,High,Low,Close,Volume
02.08.2020 00:40:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
02.08.2020 00:45:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
02.08.2020 00:50:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
02.08.2020 00:55:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
02.08.2020 01:00:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
02.08.2020 01:05:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
02.08.2020 01:10:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
02.08.2020 01:15:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
02.08.2020 01:20:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
02.08.2020 01:25:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
02.08.2020 01:30:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
02.08.2020 01:35:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
02.08.2020 01:40:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
02.08.2020 01:45:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
02.08.2020 01:50:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
02.08.2020 01:55:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
